STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE,geometry
17,31,120200,4748,41.99794,-87.758895,POINT (641100.7475096814 263773.04209119186)
17,31,120300,6920,41.991145,-87.739468,POINT (642678.0784543782 263104.79801084526)
17,31,120400,3526,41.974714,-87.751066,POINT (641946.7315662326 261092.2708109989)
17,31,130100,5205,41.992359,-87.721197,POINT (644083.4597615042 263371.68744209915)
17,31,130200,1403,41.981704,-87.733431,POINT (643243.7175444531 262034.5354423298)
17,31,130300,5083,41.985719,-87.713637,POINT (644738.60967199 262641.56106100715)
17,31,140100,3464,41.970981,-87.706177,POINT (645469.7175248358 260957.7102653956)
17,31,140200,5834,41.970613,-87.712893,POINT (644952.1710239168 260868.68815476017)
17,31,140301,2693,41.969204,-87.72332,POINT (644157.2595731925 260631.95761874632)
17,31,140302,4060,41.972208,-87.723881,POINT (644082.7635190212 260981.71019795415)
17,31,140400,6503,41.971072,-87.737365,POINT (643047.7255950256 260756.46494393592)
17,31,140500,3451,41.965381,-87.731942,POINT (643527.2740769315 260123.4400276927)
17,31,140601,2545,41.964791,-87.725766,POINT (644012.8259394395 260095.93885093147)
17,31,140602,5041,41.964993,-87.720562,POINT (644414.7598404066 260155.07801285546)
17,31,140701,2784,41.966914,-87.713243,POINT (644963.1552142317 260430.94727137126)
17,31,140702,5535,41.963427,-87.713643,POINT (644968.0676704954 260017.8184965615)
